"Method","Bias","MAD","MSE","MAPE","RSFE","TrackingSignal","NextForecast"
"Naive",422857.56,6317750.04,110334592028640,23.3313132793199,10571439,1.6732917467561,27657591
"Moving Average (3-yr)",1187504.02898551,9319929.5942029,190745433912377,39.1361126800624,27312592.6666667,2.93055783207369,30400574.6666667
"Weighted MA (.2/.3/.5)",993530.8,8360699.39130435,158822871335149,34.5062359274196,22851208.4,2.73316947907094,29791451
"Exponential Smoothing",258910.93761487,6222587.61460801,106660516017615,23.2996586565073,6731684.37798663,1.08181431824013,27658079.3498897
"Holt (Trend-Adjusted ES)",-1132026.40504838,6266440.99408166,107852808896779,24.7512454972894,-29432686.531258,-4.69687443942354,29370498.0020596
"Linear Trend",0,12322483.9213412,222574124134399,44.5346855847441,0,0,46815969.2369231
"Seasonal Indices",NA,NA,NA,NA,NA,NA,NA
"Additive Decomposition",NA,NA,NA,NA,NA,NA,NA
"Multiplicative Decomposition",NA,NA,NA,NA,NA,NA,NA
"Regression w/ Seasonal Dummies",NA,NA,NA,NA,NA,NA,NA
